0,0
"80% AFUE Efficiency Rating | Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",6
"81% AFUE Efficiency Rating | Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",2
"83% AFUE Efficiency Rating | Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",6
"85% AFUE Efficiency Rating | Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",4
"93% AFUE Efficiency Rating | This means 93% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",2
"95% AFUE Efficiency Rating | This means 95% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",2
"96% AFUE Efficiency Rating | This means 96% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",6
"97% AFUE Efficiency Rating | This means 97% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs.",2
Advanced Drain Pan Design | These air handlers features the industry's lowest water retention rate for extremely effective condensate removal.,5
"Advanced Heat Exchanger | Made from stainless steel for maximum strength and crimped, rather than welded, AirEase heat exchangers are highly resistant to thermal fatigue and other stresses caused by repeated heating and cooling. During the testing process, they are subjected to temperatures that far exceed normal operating ranges, to ensure they will stand up to years of use.",10
"All-in-One Design | Our single unit design was developed to keep all heating and cooling operation outside of the home, keeping sound inside your home to a minimum.",7
"Anti-Microbial Protection | Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce.",25
"Anti-Microbial Protection | On Matched AirEase Indoor Coil. Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce.",9
"Beckett Burners | Features like solid-state ignition, PSC burner motor and Clean-Cut pump make these burners the most popular in the industry.",10
"Built-In Pest Control | Even during the off-season, AirEase packaged units periodically cycle on the heating components. This creates an inhospitable environment for birds, rodents and insects, keeping them from nesting inside.",3
"Comfort Sync® A3 Smart Performance | When you pair this model with the Comfort Sync® A3 Thermostat, your thermostat communicates with each component, making constant adjustments and sending regular maintenance reminders to your smart phone to ensure your entire system is always working in harmony for your ideal environment.",4
"Comfort Sync® A3 Thermostat | When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends.",16
"Comfort Sync® A3 Ultra-Smart Thermostat Compatible | When you pair this model with the Comfort Sync® A3 Thermostat, you unlock total control over your home environment from anywhere. Program your Comfort Sync® app once and enjoy the freedom of fully intelligent heating and cooling. Your system adapts to deliver total harmony across your home, all on your schedule, so you can spend more time enjoying your home, and less time tinkering with thermostat settings.",8
"Consistent Comfort Control | The EFV’s variable-speed motor delivers consistent temperatures, air quality and humidity levels. Reliable and efficient, the EFV gives you more performance and lower energy bills.",2
"Constant Torque Blow Motor | The single-speed blower maintains the right amount of airflow, providing better efficiency.",3
"Constant Torque Motor | Like a variable speed air handlers, constant torque air handlers provide lower operating costs and increase overall system efficiency. Compared to standard PSC motors, constant torque delivers more consistent airflow and quieter operation.",6
"Constant Torque Motor | Like a variable speed furnace, constant torque furnaces provide lower operating costs and increases to overall system efficiency. Compared to standard PSC motors, constant torque delivers more consistent airflow and quieter operation.",10
"Dedicated Air Purifier | UVA lamp accessory can be easily integrated into the unit to attack microorganisms like mold and bacteria, preventing them from circulating through your air. It makes your home a healthier place to be.",5
"Dedicated Dual-Fuel System | The combination of a gas furnace and an electric heat pump helps control heating costs by seamlessly alternating between the two energy sources, depending outdoor conditions. On mild days, the heat pump cost-effectively keeps you warm. When the temperature becomes cold, the system will automatically switch to gas heating and alternate back to electric heat pump operation to maintain your set temperature. Energy-saving performance is maintained through all transitions, and no heat strips are needed.",2
Dual-Fuel Compatible | The combination of a gas furnace and an electric heat pump pairs two energy sources for the perfect balance of energy efficiency and comfort.,18
"EHX™ Technology | Every AirEase furnace is engineered and built with EHX Technology, a patented design that eliminates the hot spots that can shorten furnace life. EHX Technology makes heat exchangers more durable, and with its advanced airflow system, more air contacts the heat exchanger surface area for greater heat exchange, enhancing efficiency and comfort.",18
ENERGY STAR® Certified | The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.,36
"ENERGY STAR® Most Efficient 2022 | ENERGY STAR Most Efficient is a new program that identifies the most efficient products among those that qualify for the ENERGY STAR. Each product that receives this recognition demonstrates efficiency performance that is truly exceptional, inspirational, and leading edge.",4
"ENERGY STAR® Most Efficient | ENERGY STAR Most Efficient is a new program that identifies the most efficient products among those that qualify for the ENERGY STAR. Each product that receives this recognition demonstrates efficiency performance that is truly exceptional, inspirational, and leading edge.",4
Electric Furnace | When a gas furnace is not an option for your home.,1
"Enhanced Dehumidification | Rather than running at just one speed, the 18LX Inverter-Driven Scroll Compressor is able to run at lower speeds and longer cycles, removing more humidity from the air for a more dry, consistently comfortable home environment.",1
"Enhanced Dehumidification | Rather than running at just one speed, the inverter-driven scroll compressor is able to run at lower speeds and longer cycles, removing more humidity from the air for a more dry, consistently comfortable home environment.",3
"Every Day Performance | Reliable and efficient, the BCE3C single-speed air handler delivers every day performance and consistent energy savings. They’re engineered to keep air flowing efficiently, and a tight cabinet seal minimizes leakage.",2
Factory-installed TXV | Optimized to deliver the right amount of refrigerant providing high-efficiency and energy savings every day.,2
Fully insulated cabinet | Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.,6
Heavy-Duty Compressor Blanket | Greatly reduces operating sound so your outdoor entertaining is not interrupted.,21
"Heavy-Duty Compressor Blanket | Inside every AirEase package unit, you’ll find a compressor that’s wrapped in a heavy-duty, sound-insulating blanket to reduce operating noise to as low as 68 dB.**** So you’ll enjoy peace and quiet with your comfort.",4
"High Efficiency Ratings* | PRPDF16 units offer efficiency ratings of up to 16.00 SEER, 8.2 HSPF and 81% AFUE**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***",2
"High Efficiency Ratings* | PRPGE16 units offer efficiency ratings of up to 16.00 SEER and 81% AFUE**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***",2
"High Efficiency Ratings* | PRPHP16 units offer efficiency ratings of up to 16.00 SEER and 8.2 HSPF**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***",2
"High Pressure Switch | This feature prevents operation of your cooling unit in the event that refrigerant pressures exceed safe levels, protecting the compressor.",2
"Highly Consistent Performance | Compared to single-speed motors, the constant-torque motor of the BCE3E unit delivers more consistent airflow and quieter operation. Delivering daily energy savings, the BCE3E may qualify you for energy incentives.",4
"Incredibly Quiet Operation | Rather than running at just one speed, the inverter-driven compressor is able to run at lower speeds and longer cycles. That means approximately 50% lower noise levels compared to a 14 SEER single-stage unit for comfort you'll never have to think about.",3
"Incredibly Quiet Operation | Rather than running at just one speed, the inverter-driven scroll compressor is able to run at lower speeds and longer cycles. That means approximately 50% lower noise levels compared to a 10 SEER single-stage unit for comfort you'll never have to think about.",1
"Insulated Cabinet | Prevents loss of conditioned air while reducing noise from the motor. This cabinet provides a thermal barrier, achieving less than 2% air leakage.",1
Insulated Cabinet | Prevents loss of warm air while reducing noise from the motor.,18
"Integrated Compressor Protection | The combination of both high and low pressure switches give additional reliability to each AirEase cooling unit. The high pressure switch prevents operation in the event that refrigerant pressures exceed safe levels, protecting the compressor. In the event that your unit does not have enough refrigerant, the low pressure switch prevents the unit from drawing in moisture and other contaminants while operating.",9
"Integrated Compressor Protection | The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years.",10
"Integrated Compressor Protection | The combination of both high- and low-pressure switches give additional reliability to each of our cooling units. The high-pressure switch prevents operation if refrigerant pressures exceed safe levels, protecting the compressor. If your unit does not have enough refrigerant, the low-pressure switch prevents the unit from drawing in moisture and other contaminants while operating.",8
